프로젝트,티켓 유형,분류,담당자,작성자,목표 날짜
보스 망가지는 문제,,,승규,상진 문,
연속 가드 시 idle 상태로 고정되는 문제,버그,치명적,승규,상진 문,
포효 중 가드 시 덜컥거리는 문제,버그,연출,승규,상진 문,
차징 후 가드로 바로 이동 가능,개선,조작,승규,상진 문,
그림자가 덜걱거립니다,버그,,이창진,이창진,
광폭화 모드시 보스 공격 애니메이션 속도,개선,연출,승규,이창진,
특정 사운드만 볼륨이 작은 버그,버그,연출,안성빈,이상민,
누락된 사운드 ← 넣어주세요,개선,연출,안성빈,이상민,
"게임이 끝나고 보스 시체가 남아있는 버그
",,,승규,상진 문,
입구 근처 문과 창문에서 조명이 갑자기 강해지는 문제,버그,,,이상민,
타이틀 UI 버그,,,안성빈,상진 문,
벽에 보스가 끼는 경우,버그,,승규,이상민,
발차기가 너무 빠른 문제,개선,조작,승규,이상민,
회피 선딜 혹은 후딜에서 피격시 보스를 바라보고 구르는 현상,버그,,승규,이상민,
F1 누르면 시간이동하는 문제,,,상진 문,승규,
돌진 구라,,,"상진 문, 승규",상진 문,
더블 어택 문제,,,승규,상진 문,
그로기 어택 연출 강화,개선,연출,이창진,이상민,
진동 세기 수정 리스트,개선,연출,"이상민, 상진 문",이상민,
"평타를 가드캔슬할 경우, 다음 평타 사운드가 출력되지 않음",,,안성빈,이상민,
플레이어 피격 사운드 출력 안 됨,버그,연출,안성빈,이상민,
보스 차지 공격 준비단계에서 데미지가 들어가는 버그,,,승규,이상민,
"옆, 뒤 견제 공격의 히트박스 타이밍 수정 제안",개선,,"이상민, 상진 문, 승규",이상민,
평타 3타의 하단 히트박스 추가 필요,개선,,"이상민, 상진 문, 승규",이상민,
그로기 어택 이후 차지공격 캔슬되는 버그,버그,,,이상민,
가드에 패링모션이 짧은 프레임으로 들어가있음,버그,,,이상민,
조작법 UI에서 모든 조작법 설명 이미지에 버튼 UI 효과가 들어간 거 수정,개선,,안성빈,이상민,
UI 설정창 해상도 짤림,버그,연출,안성빈,이상민,
회복 버튼 누르면 즉시 회복되는 수치 증가,개선,조작,,이상민,
상당히 이상한 버그 UI,,,안성빈,이창진,
패드 조작 시 줌 인/아웃 뭐로함?,개선,연출,승규,승규,
광폭화 이후의 차지공격 공속 증가,,,,이상민,
게임 시작 후 첫 패링에 프리징되는 버그,,,,이상민,
포효하면 락온이 풀리는 문제,버그,,,이상민,
우클릭 연타하면 애니메이션 Idle되는 문제,버그,조작,,이상민,
사운드 수정 필요하면 적어주세요,,,"이상민, 안성빈","이상민, 상진 문",
기본 평타 동작의 콤보가 늦게 들어가는 문제,개선,조작,,이상민,
카메라 조작이 클릭 이후에 가능한 문제,개선,,,이상민,
화면 확대 문제,,,,,
광폭화 때 베는 사운드,개선,연출,이상민,상진 문,
광폭화 상태에서 공격키를 꾹 눌렀을때 사운드가 나지 않음,,,안성빈,상진 문,
가드 모션 중 문제,버그,연출,승규,상진 문,
차지 모션 중 문제,버그,,"승규, 이창진",상진 문,
ui 빌드 누락 사항,개선,씬전환,안성빈,상진 문,
평타 안 맞는 문제 - 기획 히트박스 조정 필요,,,"이상민, 상진 문",이상민,
로딩화면 배치 수정,개선,연출,이창진,이상민,
그림자 렌더링 딜레이 및 품질이슈,,,,강진 조,
플레이어 텍스쳐에 그림자가 지면서 깜빡이는 문제,버그,연출,이창진,상진 문,
전체화면문제,버그,,이창진,이창진,
마우스 우클릭으로 가드 한번하고 움직이면 아이들 애니메이션으로 움직임,,,,이창진,
"보스가 오른쪽으로 걸을 때, 왼쪽으로 걷는 모션이 재생되는걸 알고 계셨나요?",,연출,승규,승규,
플레이어 2타 데미지 미적용,,조작,승규,강진 조,
카메라 조작 키 레거시 코드,,연출,,강진 조,
Boss의 그로기 상태 Interact 무한 적용 가능,,조작,승규,강진 조,
Parry → Move 에서의 애니메이션 딜레이,버그,조작,승규,강진 조,
웨폰브레이크 상태일때여도 날이 붙어있는 모습,버그,연출,승규,강진 조,
보스 앞에서 가드 누르고 있으면 발차기만 하는 문제,개선,치명적,승규,,
가드 시 패링 튕겨내기 모션이 출력되는 문제,버그,연출,승규,이상민,
"플레이어, 보스 걷기 시 흔들림 문제",버그,치명적,승규,이상민,
보스 평타 사운드 싱크 안 맞음,개선,연출,안성빈,이상민,
카메라 줌인 줌아웃 한계 정하기,개선,연출,이창진,이상민,
그로기 애니메이션 수정,버그,치명적,승규,,
"보스 옆,뒤 견제 공격의 판정 문제",개선,치명적,승규,,
락온 카메라 위치 조정,개선,연출,이창진,이상민,
가드 애니메이션 속도가 너무 김,개선,연출,,,
"평타 A,C의 판정 문제",개선,치명적,승규,,
패링 소리가 안 들립니다,버그,연출,안성빈,,
게임창 최소화 이슈,버그,치명적,이창진,,
test1,,,,,
test,,,,,
