# legacy=off vsync=off 1920x1080 scene=#01PrototypeMap.scene take=D:/Github/EGOSIS_Refactoring/Scripts/../Bench/take01.json build=Release gpu=NVIDIA GeForce RTX 4060 Ti driver=32.0.16.1088 capture=metrics-only
frame,presentMs,cpuMs,gpuMs,gpu_MainPass,gpu_CameraPreview,gpu_ComputeEffects,gpu_ParticleOverlay,gpu_DebugOverlay,gpu_ToneMapAndUI,gpu_OverlayEffects,drawCalls,instancedDrawCalls,iaPrimitives,vsInvocations,psInvocations,cPrimitives,boneCbMapCount,boneCbBytesUploaded,vramUsedMB,workingSetMB
302,16.459400,16.456000,5.273600,5.198208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6700,58,1212996,2182617,16745483,344007,6620,451056,948.402344,590.695312
303,16.688500,16.059500,5.047296,4.972512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6700,58,1214300,2184940,16728682,344484,6620,451056,948.402344,590.695312
304,16.307799,16.540300,5.188608,5.112544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6700,58,1214304,2184959,16710429,345085,6620,451056,948.402344,590.703125
305,16.783999,16.250900,5.023744,4.947488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6700,58,1214304,2184957,16715606,345541,6620,451056,948.402344,590.703125
306,16.481200,16.658200,5.143552,5.067328,0.000000,0.000000,0.000000,0.000000,0.000000,0.001024,6700,58,1214304,2184946,16698709,345972,6620,451056,948.402344,590.703125
307,16.903900,17.008400,5.668864,5.592608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6700,58,1214304,2184954,16668335,346256,6620,451056,948.402344,590.703125
308,17.243300,15.928000,5.249024,5.172480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6702,58,1219448,2193508,16671950,346621,6621,451252,948.402344,590.703125
309,16.165599,16.481000,5.437440,5.361600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6702,58,1219448,2193485,16652049,346815,6621,451252,948.402344,590.703125
310,16.731501,16.278900,5.325824,5.249792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6702,58,1219448,2193500,16669279,347014,6621,451252,948.402344,590.703125
311,16.505100,16.293100,5.214208,5.138592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6702,58,1219450,2193527,16669473,347141,6621,451252,948.402344,590.703125
