# legacy=on vsync=off 1920x1080 scene=#01PrototypeMap.scene take=D:/Github/EGOSIS_Refactoring/Scripts/../Bench/take01.json build=Release gpu=NVIDIA GeForce RTX 4060 Ti driver=32.0.16.1088 capture=metrics-only
frame,presentMs,cpuMs,gpuMs,gpu_MainPass,gpu_CameraPreview,gpu_ComputeEffects,gpu_ParticleOverlay,gpu_DebugOverlay,gpu_ToneMapAndUI,gpu_OverlayEffects,drawCalls,instancedDrawCalls,iaPrimitives,vsInvocations,psInvocations,cPrimitives,boneCbMapCount,boneCbBytesUploaded,vramUsedMB,workingSetMB
302,51.004998,49.628200,49.872896,49.690656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11004,0,1586421,2858780,17214517,604490,9322,610367272,948.406250,387.347656
303,49.874201,50.675700,50.524160,50.337856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11040,0,1591637,2868112,17219809,606488,9340,611545840,948.406250,387.347656
304,50.917801,49.784600,50.031616,49.846016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11048,0,1591653,2868135,17274169,608866,9344,611807744,948.406250,387.355469
305,50.025798,50.671700,49.831936,49.645984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11048,0,1591653,2868131,17290452,610675,9344,611807744,948.406250,387.355469
306,50.968301,50.358400,50.383872,50.197344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11048,0,1591653,2868134,17322123,612354,9344,611807744,948.406250,387.355469
307,50.632201,50.733200,50.099200,49.913280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11048,0,1591653,2868170,17343589,613554,9344,611807744,948.406250,387.355469
308,50.968800,49.597200,49.462272,49.274464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11056,0,1612229,2902373,17361289,615041,9346,611938696,948.406250,387.367188
309,49.846198,52.727900,52.698112,52.511488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11056,0,1612229,2902362,17363596,615816,9346,611938696,948.406250,387.367188
310,52.966900,55.049600,55.084032,54.897504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11056,0,1612229,2902362,17374121,616593,9346,611938696,948.406250,387.367188
311,55.351801,52.038800,53.337088,53.151232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11060,0,1612237,2902378,17373348,617105,9348,612069648,948.406250,378.992188
312,52.286901,50.615800,50.225152,50.038272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11096,0,1612309,2902522,17353713,617329,9366,613248216,948.406250,379.000000
313,50.863601,50.283400,50.488320,50.301984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11096,0,1612309,2902519,17342714,617861,9366,613248216,948.406250,379.000000
314,50.521001,50.370700,50.054144,49.868448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11096,0,1612309,2902524,17332405,618387,9366,613248216,948.406250,379.000000
315,50.605200,52.368200,52.148224,51.961888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11104,0,1612325,2902545,17301506,619389,9370,613510120,948.406250,379.003906
316,52.611500,50.183700,49.722368,49.535264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11116,0,1612349,2902594,17266964,621023,9376,613902976,948.406250,379.003906
317,50.426099,50.107400,50.846720,50.660256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11128,0,1612373,2902693,17279400,622112,9382,614295832,948.406250,379.003906
318,50.342601,49.937100,49.418240,49.232672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11160,0,1612437,2902780,17254991,622476,9398,615343448,948.406250,379.003906
319,50.163802,49.996700,49.453056,49.267008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11168,0,1612453,2902780,17218353,622771,9402,615605352,948.406250,379.003906
320,50.232500,52.592400,52.161536,51.975296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11168,0,1612453,2902803,17226688,623173,9402,615605352,948.406250,379.003906
321,52.851699,56.530500,56.115200,55.928288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11172,0,1613797,2904634,17194139,623710,9404,615736304,948.406250,379.003906
322,56.806300,51.893000,51.558400,51.371488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11180,0,1616485,2908282,17188650,624474,9408,615998208,948.406250,374.890625
323,52.195400,52.246600,51.869696,51.684128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11184,0,1617829,2910091,17188410,626048,9410,616129160,948.406250,374.917969
324,52.487399,51.939500,51.408896,51.223200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11188,0,1617957,2910285,17175422,628120,9412,616260112,948.406250,374.917969
325,52.205000,51.650300,51.256320,51.070048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11200,0,1618341,2910805,17156446,630668,9418,616652968,948.406250,374.917969
326,51.910799,52.022200,51.774464,51.584160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11240,0,1618421,2910970,17151535,632218,9438,617962488,948.406250,374.917969
327,52.360401,51.723700,51.733504,51.543264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11240,0,1618421,2910970,17154047,633699,9438,617962488,948.406250,374.921875
328,51.987998,52.590400,51.207168,51.014272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11240,0,1618421,2910970,17146334,634937,9438,617962488,948.406250,374.921875
329,52.848499,50.951300,51.787776,50.276288,0.000000,0.000000,0.000000,0.001024,0.000000,0.000000,11240,0,1618421,2910970,17151480,636193,9438,617962488,948.406250,374.921875
330,51.219001,57.242500,55.985152,55.796096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11240,0,1618421,2910965,17142784,637466,9438,617962488,948.406250,362.550781
331,57.498999,50.760500,49.772544,49.581952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11260,0,1618461,2911062,17147861,638155,9448,618617248,948.406250,362.550781
332,50.999898,51.269700,51.192832,51.001984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11272,0,1618485,2911098,17141671,639030,9454,619010104,948.406250,362.550781
