backend,op,n,medianMs,stdDevMs,minMs,maxMs,allocCount,allocBytes,peakLiveBytes,workingSetBytes
ecs,add,100,0.006600,0.000739,0.006400,0.008800,114,39115,14891,4968448
ecs,step,100,0.000130,0.000003,0.000130,0.000140,NA,NA,NA,4968448
ecs,random,100,0.059200,0.000093,0.059100,0.059400,NA,NA,NA,4968448
ecs,remove,100,0.000200,0.000087,0.000100,0.000400,NA,NA,NA,4968448
oop,add,100,0.018000,0.002622,0.017700,0.025800,817,32815,26991,5009408
oop,step,100,0.000420,0.000010,0.000400,0.000430,NA,NA,NA,5009408
oop,random,100,0.263800,0.003298,0.261000,0.271700,NA,NA,NA,5009408
oop,remove,100,0.002100,0.000053,0.002000,0.002100,NA,NA,NA,5009408
ecs,add (fragmented),100,0.006700,0.000786,0.006400,0.008900,114,39115,14891,4976640
ecs,step (fragmented),100,0.000130,0.000004,0.000130,0.000140,NA,NA,NA,4976640
ecs,random (fragmented),100,0.059300,0.005993,0.059200,0.074100,NA,NA,NA,4976640
ecs,remove (fragmented),100,0.000200,0.000130,0.000200,0.000600,NA,NA,NA,4976640
oop,add (fragmented),100,0.017900,0.000303,0.017600,0.018400,817,32815,26991,5001216
oop,step (fragmented),100,0.000420,0.000037,0.000310,0.000420,NA,NA,NA,5001216
oop,random (fragmented),100,0.262700,0.002167,0.261300,0.267700,NA,NA,NA,5001216
oop,remove (fragmented),100,0.001900,0.000100,0.001800,0.002100,NA,NA,NA,5001216
ecs,add,500,0.035100,0.005405,0.025300,0.039300,150,197009,75126,5083136
ecs,step,500,0.000600,0.000026,0.000570,0.000650,NA,NA,NA,5083136
ecs,random,500,0.059200,0.000097,0.059100,0.059400,NA,NA,NA,5083136
ecs,remove,500,0.001000,0.000000,0.001000,0.001000,NA,NA,NA,5083136
oop,add,500,0.111400,0.004471,0.103600,0.118900,4021,126550,101990,5169152
oop,step,500,0.002100,0.000124,0.001800,0.002130,NA,NA,NA,5169152
oop,random,500,0.498200,0.003795,0.493200,0.505700,NA,NA,NA,5169152
oop,remove,500,0.012100,0.000279,0.011700,0.012400,NA,NA,NA,5169152
ecs,add (fragmented),500,0.032600,0.003155,0.029000,0.039000,150,197009,75126,5136384
ecs,step (fragmented),500,0.000590,0.000019,0.000580,0.000640,NA,NA,NA,5136384
ecs,random (fragmented),500,0.059200,0.000222,0.059200,0.059800,NA,NA,NA,5136384
ecs,remove (fragmented),500,0.001000,0.000044,0.001000,0.001100,NA,NA,NA,5136384
oop,add (fragmented),500,0.111300,0.004542,0.104700,0.116500,4021,126550,101990,5173248
oop,step (fragmented),500,0.002110,0.000100,0.001890,0.002120,NA,NA,NA,5173248
